,Level,F1-Score
0,B-PER,0.9476584022038568
1,I-PER,0.9747292418772563
2,B-ORG,0.7133333333333333
3,I-ORG,0.6542056074766355
4,B-LOC,0.8446601941747572
5,I-LOC,0.3333333333333333
6,B-MISC,0.6827309236947791
7,I-MISC,0.8157894736842104
0,AVG_MICRO,0.8189762796504371
0,AVG_MACRO,0.7458050637222702
