,Level,F1-Score
0,B-PER,0.8170731707317074
1,I-PER,0.858267716535433
2,B-ORG,0.5381818181818182
3,I-ORG,0.4375
4,B-LOC,0.6315789473684211
5,I-LOC,0.19047619047619047
6,B-MISC,0.5502183406113538
7,I-MISC,0.5454545454545454
0,AVG_MICRO,0.6598500340831629
0,AVG_MACRO,0.5710938411699337
