,Level,F1-Score
0,B-PER,0.8820224719101124
1,I-PER,0.9446494464944649
2,B-ORG,0.610441767068273
3,I-ORG,0.5227272727272727
4,B-LOC,0.7549019607843137
5,I-LOC,0.32000000000000006
6,B-MISC,0.6779661016949152
7,I-MISC,0.3846153846153846
0,AVG_MICRO,0.7494935854152599
0,AVG_MACRO,0.6371655506618421
