,Level,F1-Score
0,B-PER,0.9461756373937679
1,I-PER,0.9927536231884058
2,B-ORG,0.7770270270270271
3,I-ORG,0.7809523809523808
4,B-LOC,0.8712871287128713
5,I-LOC,0.38095238095238093
6,B-MISC,0.7896995708154506
7,I-MISC,0.78125
0,AVG_MICRO,0.863225806451613
0,AVG_MACRO,0.7900122186302856
