,Level,F1-Score
0,B-PER,0.8971428571428572
1,I-PER,0.9416058394160585
2,B-ORG,0.6621621621621623
3,I-ORG,0.691588785046729
4,B-LOC,0.8039215686274509
5,I-LOC,0.1818181818181818
6,B-MISC,0.72
7,I-MISC,0.71875
0,AVG_MICRO,0.7898832684824904
0,AVG_MACRO,0.7021236742766799
