,Level,F1-Score
0,B-PER,0.9378531073446328
1,I-PER,0.9708029197080291
2,B-ORG,0.6947368421052632
3,I-ORG,0.6470588235294117
4,B-LOC,0.8442211055276382
5,I-LOC,0.3157894736842105
6,B-MISC,0.7186147186147187
7,I-MISC,0.631578947368421
0,AVG_MICRO,0.8139381985535832
0,AVG_MACRO,0.7200819922352907
