,Level,F1-Score
0,B-PER,0.8857142857142858
1,I-PER,0.9288389513108615
2,B-ORG,0.6859205776173285
3,I-ORG,0.5979381443298969
4,B-LOC,0.7539267015706805
5,I-LOC,0.25000000000000006
6,B-MISC,0.6778242677824267
7,I-MISC,0.6129032258064516
0,AVG_MICRO,0.7698465643762508
0,AVG_MACRO,0.6741332692664914
