,Level,F1-Score
0,B-PER,0.9355742296918768
1,I-PER,0.9784172661870504
2,B-ORG,0.761904761904762
3,I-ORG,0.7058823529411764
4,B-LOC,0.8979591836734694
5,I-LOC,0.38095238095238093
6,B-MISC,0.6854838709677419
7,I-MISC,0.7671232876712328
0,AVG_MICRO,0.8362014021669852
0,AVG_MACRO,0.7641621667487113
